"journal","name","paperCount","citationCount","rank","issn"
"http://ma-graph.org/entity/1000633639","Acta Germanica",2,0,18584,"0065-1273"
"http://ma-graph.org/entity/1001185950","International Journal of Mormon Studies",2,0,18584,"1757-5532"
"http://ma-graph.org/entity/1001536755","Philotheos: International Journal for Philosophy and Theology",1,0,19277,"1451-3455"
"http://ma-graph.org/entity/100193335","Tulane Journal of Technology and Intellectual Property",11,9,16539,"1533-3531"
"http://ma-graph.org/entity/10025213","APT Bulletin",580,1370,12456,"0848-8525"
"http://ma-graph.org/entity/100253076","Vascular and Endovascular Surgery",1850,14239,11089,"1538-5744"
"http://ma-graph.org/entity/1002663397","Gewerblicher Rechtsschutz und Urheberrecht",38,11,15626,"0016-9420"
"http://ma-graph.org/entity/1003029599","Onychium",8,0,17198,"1824-2669"
"http://ma-graph.org/entity/1003217925","Bogoslovni vestnik",38,0,15639,"0006-5722"
"http://ma-graph.org/entity/100537957","Manoa",1907,453,11582,"1045-7909"
"http://ma-graph.org/entity/10055403","Reference and User Services Quarterly",2670,6103,10948,"1094-9054"
"http://ma-graph.org/entity/1005973463","Subtropics",99,2,14681,"1559-0704"
"http://ma-graph.org/entity/100638937","Human Organization",2958,38625,9884,"0018-7259"
"http://ma-graph.org/entity/100695177","The Astronomical Journal",26540,495781,7718,"0004-6256"
"http://ma-graph.org/entity/100706773","Journal of Applied Philosophy",1063,5134,11596,"0264-3758"
"http://ma-graph.org/entity/100726851","International Journal of Insect Science",68,86,14956,"1179-5433"
"http://ma-graph.org/entity/100736837","Plastic and Reconstructive Surgery",60240,632999,7340,"0032-1052"
"http://ma-graph.org/entity/100787194","Phytotaxa",5329,9856,10534,"1179-3155"
"http://ma-graph.org/entity/100920005","College &amp; Research Libraries",6461,26321,9678,"0010-0870"
"http://ma-graph.org/entity/1009874106","International Trends",2,0,18584,"1728-2756"
"http://ma-graph.org/entity/101014958","Organic Syntheses",2188,4765,11358,"0078-6209"
"http://ma-graph.org/entity/1010394304","BioMed Research International",16771,155231,9115,"2314-6133"
"http://ma-graph.org/entity/101107869","Clinical Toxicology",5061,75785,9730,"1556-3650"
"http://ma-graph.org/entity/101209419","Journal of Development Economics",3252,181905,9034,"0304-3878"
"http://ma-graph.org/entity/101245202","Psychology of Violence",426,4346,12748,"2152-0828"
"http://ma-graph.org/entity/101267242","American Communist History",331,165,13328,"1474-3892"
"http://ma-graph.org/entity/101287785","International Journal of Nanomedicine",4330,81374,10195,"1176-9114"
"http://ma-graph.org/entity/1014577641","Sirena",640,58,12810,"1548-6400"
"http://ma-graph.org/entity/101466443","International Journal of Thermophysics",4814,44740,9975,"0195-928X"
"http://ma-graph.org/entity/1016111185","Revue des Études Juives",789,157,12490,"0484-8616"
"http://ma-graph.org/entity/1016494330","Analytical Abstracts",109,195,14465,"0003-2689"
"http://ma-graph.org/entity/1017130742","Studies in Comparative Religion",11,1,16873,"0039-3622"
"http://ma-graph.org/entity/101788309","Papers in Regional Science",1754,30010,10609,"1056-8190"
"http://ma-graph.org/entity/1018005636","Bijutsu Kenkyk",4,0,17891,"0021-9088"
"http://ma-graph.org/entity/1018669574","Philosophy of Mathematics Education Journal",25,83,15085,"1465-2978"
"http://ma-graph.org/entity/1020933676","Palimpsest",2286,439,11406,"2165-1604"
"http://ma-graph.org/entity/1020997206","New West Indian Guide",55,63,14982,"1382-2373"
"http://ma-graph.org/entity/102131606","Pulmonary Pharmacology &amp; Therapeutics",1701,29606,10976,"1094-5539"
"http://ma-graph.org/entity/102140811","Journal of Homosexuality",2633,48918,10217,"0091-8369"
"http://ma-graph.org/entity/102250854","Journal of Contemporary Religion",1075,3863,11656,"1353-7903"
"http://ma-graph.org/entity/102275153","Journal of New Music Research",975,12441,11198,"0929-8215"
