"","journal","Categories"
"1","http://ma-graph.org/entity/100014387","Biophysics (Q1); Biochemistry (Q2)"
"2","http://ma-graph.org/entity/100014455","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
"5","http://ma-graph.org/entity/100045985","Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Parasitology (Q1); Virology (Q2)"
"7","http://ma-graph.org/entity/100062655","Psychology (miscellaneous) (Q4)"
"13","http://ma-graph.org/entity/10012645","Computational Mechanics (Q1); Geotechnical Engineering and Engineering Geology (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
"14","http://ma-graph.org/entity/100126920","Health (social science) (Q3); Medicine (miscellaneous) (Q3)"
"15","http://ma-graph.org/entity/100142436","Electrical and Electronic Engineering (Q1); Media Technology (Q1)"
"16","http://ma-graph.org/entity/1001451782","Communication (Q4)"
"17","http://ma-graph.org/entity/100149336","Communication (Q2); Strategy and Management (Q2)"
"20","http://ma-graph.org/entity/100175869","Cellular and Molecular Neuroscience (Q2); Endocrine and Autonomic Systems (Q2); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
"24","http://ma-graph.org/entity/1002040950","Literature and Literary Theory (Q3)"
"25","http://ma-graph.org/entity/1002054987","Visual Arts and Performing Arts (Q4)"
"27","http://ma-graph.org/entity/1002109714","Communication (Q2)"
"30","http://ma-graph.org/entity/100253076","Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3); Surgery (Q3)"
"34","http://ma-graph.org/entity/100299040","Health, Toxicology and Mutagenesis (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Epidemiology (Q4)"
"37","http://ma-graph.org/entity/1003217925","Religious Studies (Q1)"
"39","http://ma-graph.org/entity/100353606","Chemical Engineering (miscellaneous) (Q2)"
"44","http://ma-graph.org/entity/100414002","Agronomy and Crop Science (Q2); Soil Science (Q3)"
"45","http://ma-graph.org/entity/100427259","Mechanical Engineering (Q2); Metals and Alloys (Q2); Mechanics of Materials (Q3)"
"46","http://ma-graph.org/entity/1004452751","Applied Mathematics (Q4); Control and Optimization (Q4); Instrumentation (Q4)"
"49","http://ma-graph.org/entity/1004602342","Developmental and Educational Psychology (Q3); Medicine (miscellaneous) (Q3); Pediatrics, Perinatology and Child Health (Q3); Psychiatry and Mental Health (Q3)"
